+-----+---------+--------------+-----------+----+----+-------+
|  #  | hold_id | placement_id | hold_role | x  | y  | count |
| 363 |   1207  |     1380     |     12    | 9  | 37 |   10  |
| 364 |   1257  |     1381     |     12    | 11 | 37 |   4   |
| 365 |   1196  |     1328     |     12    | 7  | 31 |   9   |
| 366 |   1209  |     1346     |     12    | 9  | 33 |   3   |
| 367 |   1135  |     1448     |     12    | 38 | 0  |   5   |
| 368 |   1328  |     1299     |     12    | 17 | 27 |   7   |
| 369 |   1606  |     1394     |     12    | 37 | 37 |   20  |
| 370 |   1554  |     1324     |     12    | 33 | 29 |   8   |
| 371 |   1249  |     1279     |     12    | 11 | 25 |   18  |
| 372 |   1378  |     1386     |     12    | 21 | 37 |   3   |
| 373 |   1589  |     1553     |     12    | 36 | 22 |   13  |
| 374 |   1159  |     1460     |     12    | 14 | 0  |   5   |
| 375 |   1615  |     1563     |     12    | 38 | 24 |   3   |
| 376 |   1154  |     1083     |     12    | 19 | 1  |   8   |
| 377 |   1211  |     1329     |     12    | 9  | 31 |   7   |
| 378 |   1190  |     1277     |     12    | 7  | 25 |   33  |
| 379 |   1157  |     1459     |     12    | 16 | 0  |   4   |
| 380 |   1499  |     1305     |     12    | 29 | 27 |   10  |
| 381 |   1497  |     1322     |     12    | 29 | 29 |   9   |
| 382 |   1496  |     1339     |     12    | 29 | 31 |   7   |
| 383 |   1266  |     1348     |     12    | 13 | 33 |   6   |
| 384 |   1380  |     1352     |     12    | 21 | 33 |   3   |
| 385 |   1494  |     1356     |     12    | 29 | 33 |   4   |
| 386 |   1265  |     1365     |     12    | 13 | 35 |   4   |
| 387 |   1379  |     1369     |     12    | 21 | 35 |   2   |
| 388 |   1493  |     1373     |     12    | 29 | 35 |   3   |
| 389 |   1264  |     1382     |     12    | 13 | 37 |   7   |
| 390 |   1611  |     1326     |     12    | 37 | 29 |   1   |
| 391 |   1610  |     1343     |     12    | 37 | 31 |   1   |
| 392 |   1608  |     1360     |     12    | 37 | 33 |   2   |
| 393 |   1607  |     1377     |     12    | 37 | 35 |   1   |
| 394 |   1442  |     1303     |     12    | 25 | 27 |   7   |
| 395 |   1425  |     1336     |     12    | 23 | 31 |   5   |
| 396 |   1312  |     1349     |     12    | 15 | 33 |   2   |
| 397 |   1311  |     1332     |     12    | 15 | 31 |   2   |
| 398 |   1208  |     1363     |     12    | 9  | 35 |   8   |
| 399 |   1313  |     1366     |     12    | 15 | 35 |   3   |
| 400 |   1254  |     1330     |     12    | 11 | 31 |   5   |
| 401 |   1252  |     1313     |     12    | 11 | 29 |   8   |
| 402 |   1646  |     1554     |     12    | 40 | 22 |   5   |
| 403 |   1163  |     1462     |     12    | 10 | 0  |   3   |
| 404 |   1199  |     1362     |     12    | 7  | 35 |   3   |
| 405 |   1369  |     1351     |     12    | 19 | 33 |   4   |
| 406 |   1426  |     1353     |     12    | 23 | 33 |   4   |
| 407 |   1653  |     1344     |     12    | 39 | 31 |   4   |
| 408 |   1158  |     1085     |     12    | 15 | 1  |   11  |
| 409 |   1191  |     1564     |     12    | 8  | 26 |   2   |
| 410 |   1484  |     1372     |     12    | 27 | 35 |   1   |
| 411 |   1550  |     1375     |     12    | 33 | 35 |   2   |
| 412 |   1482  |     1338     |     12    | 27 | 31 |   2   |
| 413 |   1167  |     1089     |     12    | 7  | 1  |   20  |
| 414 |   4285  |     4704     |     12    | 3  | 9  |   48  |
| 415 |   1304  |     1548     |     12    | 16 | 22 |   6   |
| 416 |   1592  |     1571     |     12    | 36 | 26 |   1   |
| 417 |   4323  |     4742     |     12    | 41 | 9  |   26  |
| 418 |   4361  |     4780     |     12    | 45 | 9  |   48  |
| 419 |   1136  |     1074     |     12    | 37 | 1  |   4   |
| 420 |   4340  |     4759     |     12    | 43 | 5  |   17  |
| 421 |   4341  |     4760     |     12    | 43 | 7  |   78  |
| 422 |   1537  |     1323     |     12    | 31 | 29 |   3   |
| 423 |   1247  |     1547     |     12    | 12 | 22 |   11  |
